question_text,option_a,option_b,option_c,option_d,correct_option,difficulty,topic,explanation
A team is reviewing a full-stack feature where a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which design choice is the strongest long-term fix?,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Put the retry loop only in the client and ask the user not to refresh during payment.,A,medium,Idempotency & Retry Safety,
"During production debugging, engineers discover that a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which response best addresses the root cause rather than only the symptom?","Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Put the retry loop only in the client and ask the user not to refresh during payment.,A,medium,Idempotency & Retry Safety,
A senior developer asks how to make the system safer when a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which option is the most technically sound?,Put the retry loop only in the client and ask the user not to refresh during payment.,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,B,medium,Idempotency & Retry Safety,
"In a code review, you notice that a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which improvement should be prioritized before release?",Put the retry loop only in the client and ask the user not to refresh during payment.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",D,medium,Idempotency & Retry Safety,
A candidate is asked to redesign a feature because a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which answer shows the best full-stack judgment?,Put the retry loop only in the client and ask the user not to refresh during payment.,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,B,medium,Idempotency & Retry Safety,
A team is reviewing a full-stack feature where a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which design choice is the strongest long-term fix?,Move all product data into localStorage and refresh it only during login.,Disable caching everywhere so users always receive the newest server response.,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,D,medium,HTTP Caching Strategy,
"During production debugging, engineers discover that a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which response best addresses the root cause rather than only the symptom?",Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,Disable caching everywhere so users always receive the newest server response.,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Move all product data into localStorage and refresh it only during login.,A,medium,HTTP Caching Strategy,
A senior developer asks how to make the system safer when a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which option is the most technically sound?,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Disable caching everywhere so users always receive the newest server response.,Move all product data into localStorage and refresh it only during login.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,D,medium,HTTP Caching Strategy,
"In a code review, you notice that a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which improvement should be prioritized before release?",Disable caching everywhere so users always receive the newest server response.,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,Move all product data into localStorage and refresh it only during login.,C,medium,HTTP Caching Strategy,
A candidate is asked to redesign a feature because a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which answer shows the best full-stack judgment?,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,Disable caching everywhere so users always receive the newest server response.,Move all product data into localStorage and refresh it only during login.,B,medium,HTTP Caching Strategy,
A team is reviewing a full-stack feature where a browser frontend on one domain calls an authenticated API on another domain and cookies are not being sent reliably. Which design choice is the strongest long-term fix?,"Configure a specific allowed origin, allow credentials, handle the OPTIONS preflight, and set cookie attributes consistently.",Set Access-Control-Allow-Origin to * and enable credentials because the browser will choose the safe origin.,Proxy every request through the frontend build server and keep the API unchanged in production.,Add the API domain to a client-side allowlist and leave server headers unchanged.,A,medium,CORS & Cookie Authentication,
"During production debugging, engineers discover that a browser frontend on one domain calls an authenticated API on another domain and cookies are not being sent reliably. Which response best addresses the root cause rather than only the symptom?",Proxy every request through the frontend build server and keep the API unchanged in production.,"Configure a specific allowed origin, allow credentials, handle the OPTIONS preflight, and set cookie attributes consistently.",Set Access-Control-Allow-Origin to * and enable credentials because the browser will choose the safe origin.,Add the API domain to a client-side allowlist and leave server headers unchanged.,B,medium,CORS & Cookie Authentication,
A senior developer asks how to make the system safer when a browser frontend on one domain calls an authenticated API on another domain and cookies are not being sent reliably. Which option is the most technically sound?,Set Access-Control-Allow-Origin to * and enable credentials because the browser will choose the safe origin.,Proxy every request through the frontend build server and keep the API unchanged in production.,Add the API domain to a client-side allowlist and leave server headers unchanged.,"Configure a specific allowed origin, allow credentials, handle the OPTIONS preflight, and set cookie attributes consistently.",D,medium,CORS & Cookie Authentication,
"In a code review, you notice that a browser frontend on one domain calls an authenticated API on another domain and cookies are not being sent reliably. Which improvement should be prioritized before release?",Proxy every request through the frontend build server and keep the API unchanged in production.,Add the API domain to a client-side allowlist and leave server headers unchanged.,"Configure a specific allowed origin, allow credentials, handle the OPTIONS preflight, and set cookie attributes consistently.",Set Access-Control-Allow-Origin to * and enable credentials because the browser will choose the safe origin.,C,medium,CORS & Cookie Authentication,
A candidate is asked to redesign a feature because a browser frontend on one domain calls an authenticated API on another domain and cookies are not being sent reliably. Which answer shows the best full-stack judgment?,"Configure a specific allowed origin, allow credentials, handle the OPTIONS preflight, and set cookie attributes consistently.",Add the API domain to a client-side allowlist and leave server headers unchanged.,Proxy every request through the frontend build server and keep the API unchanged in production.,Set Access-Control-Allow-Origin to * and enable credentials because the browser will choose the safe origin.,A,medium,CORS & Cookie Authentication,
A team is reviewing a full-stack feature where users remain logged in after token theft is suspected and access tokens are valid for a long time. Which design choice is the strongest long-term fix?,Store the user password inside the token payload in encrypted form so the server can re-check identity later.,Increase the JWT expiration time so users authenticate less often and support receives fewer login complaints.,"Use short-lived access tokens, rotate refresh tokens, store refresh state server-side or revocably, and invalidate suspicious sessions.",Rely only on HTTPS and avoid refresh-token state because stateless authentication is always safer.,C,medium,Token Session Security,
"During production debugging, engineers discover that users remain logged in after token theft is suspected and access tokens are valid for a long time. Which response best addresses the root cause rather than only the symptom?",Store the user password inside the token payload in encrypted form so the server can re-check identity later.,Increase the JWT expiration time so users authenticate less often and support receives fewer login complaints.,"Use short-lived access tokens, rotate refresh tokens, store refresh state server-side or revocably, and invalidate suspicious sessions.",Rely only on HTTPS and avoid refresh-token state because stateless authentication is always safer.,C,medium,Token Session Security,
A senior developer asks how to make the system safer when users remain logged in after token theft is suspected and access tokens are valid for a long time. Which option is the most technically sound?,"Use short-lived access tokens, rotate refresh tokens, store refresh state server-side or revocably, and invalidate suspicious sessions.",Rely only on HTTPS and avoid refresh-token state because stateless authentication is always safer.,Store the user password inside the token payload in encrypted form so the server can re-check identity later.,Increase the JWT expiration time so users authenticate less often and support receives fewer login complaints.,A,medium,Token Session Security,
"In a code review, you notice that users remain logged in after token theft is suspected and access tokens are valid for a long time. Which improvement should be prioritized before release?",Store the user password inside the token payload in encrypted form so the server can re-check identity later.,Rely only on HTTPS and avoid refresh-token state because stateless authentication is always safer.,Increase the JWT expiration time so users authenticate less often and support receives fewer login complaints.,"Use short-lived access tokens, rotate refresh tokens, store refresh state server-side or revocably, and invalidate suspicious sessions.",D,medium,Token Session Security,
A candidate is asked to redesign a feature because users remain logged in after token theft is suspected and access tokens are valid for a long time. Which answer shows the best full-stack judgment?,Store the user password inside the token payload in encrypted form so the server can re-check identity later.,Increase the JWT expiration time so users authenticate less often and support receives fewer login complaints.,Rely only on HTTPS and avoid refresh-token state because stateless authentication is always safer.,"Use short-lived access tokens, rotate refresh tokens, store refresh state server-side or revocably, and invalidate suspicious sessions.",D,medium,Token Session Security,
A team is reviewing a full-stack feature where authenticated users can sometimes access another user's invoice by changing an identifier in the URL. Which design choice is the strongest long-term fix?,"Enforce object-level authorization on the server for every protected resource, independent of client routing.",Hide invoice links in the UI when the user is not the owner.,Check authorization only at login because the session already proves the user is valid.,Use longer random invoice identifiers so guessing becomes less convenient.,A,medium,Object-Level Authorization,
"During production debugging, engineers discover that authenticated users can sometimes access another user's invoice by changing an identifier in the URL. Which response best addresses the root cause rather than only the symptom?",Check authorization only at login because the session already proves the user is valid.,Hide invoice links in the UI when the user is not the owner.,"Enforce object-level authorization on the server for every protected resource, independent of client routing.",Use longer random invoice identifiers so guessing becomes less convenient.,C,medium,Object-Level Authorization,
A senior developer asks how to make the system safer when authenticated users can sometimes access another user's invoice by changing an identifier in the URL. Which option is the most technically sound?,Use longer random invoice identifiers so guessing becomes less convenient.,Check authorization only at login because the session already proves the user is valid.,"Enforce object-level authorization on the server for every protected resource, independent of client routing.",Hide invoice links in the UI when the user is not the owner.,C,medium,Object-Level Authorization,
"In a code review, you notice that authenticated users can sometimes access another user's invoice by changing an identifier in the URL. Which improvement should be prioritized before release?","Enforce object-level authorization on the server for every protected resource, independent of client routing.",Hide invoice links in the UI when the user is not the owner.,Use longer random invoice identifiers so guessing becomes less convenient.,Check authorization only at login because the session already proves the user is valid.,A,medium,Object-Level Authorization,
A candidate is asked to redesign a feature because authenticated users can sometimes access another user's invoice by changing an identifier in the URL. Which answer shows the best full-stack judgment?,"Enforce object-level authorization on the server for every protected resource, independent of client routing.",Use longer random invoice identifiers so guessing becomes less convenient.,Check authorization only at login because the session already proves the user is valid.,Hide invoice links in the UI when the user is not the owner.,A,medium,Object-Level Authorization,
A team is reviewing a full-stack feature where a full-stack app stores credentials and the team wants safer login without making the database unusable. Which design choice is the strongest long-term fix?,Base64-encode passwords before storing them so raw text is not visible in database tools.,"Hash passwords with a slow adaptive password hashing algorithm, unique salts, and secure reset flows.",Hash passwords quickly with a general-purpose hash to keep sign-in latency minimal.,Encrypt passwords with an application secret so the server can decrypt them during login.,B,medium,Password Storage Security,
"During production debugging, engineers discover that a full-stack app stores credentials and the team wants safer login without making the database unusable. Which response best addresses the root cause rather than only the symptom?",Hash passwords quickly with a general-purpose hash to keep sign-in latency minimal.,Encrypt passwords with an application secret so the server can decrypt them during login.,"Hash passwords with a slow adaptive password hashing algorithm, unique salts, and secure reset flows.",Base64-encode passwords before storing them so raw text is not visible in database tools.,C,medium,Password Storage Security,
A senior developer asks how to make the system safer when a full-stack app stores credentials and the team wants safer login without making the database unusable. Which option is the most technically sound?,"Hash passwords with a slow adaptive password hashing algorithm, unique salts, and secure reset flows.",Base64-encode passwords before storing them so raw text is not visible in database tools.,Hash passwords quickly with a general-purpose hash to keep sign-in latency minimal.,Encrypt passwords with an application secret so the server can decrypt them during login.,A,medium,Password Storage Security,
"In a code review, you notice that a full-stack app stores credentials and the team wants safer login without making the database unusable. Which improvement should be prioritized before release?",Hash passwords quickly with a general-purpose hash to keep sign-in latency minimal.,Encrypt passwords with an application secret so the server can decrypt them during login.,Base64-encode passwords before storing them so raw text is not visible in database tools.,"Hash passwords with a slow adaptive password hashing algorithm, unique salts, and secure reset flows.",D,medium,Password Storage Security,
A candidate is asked to redesign a feature because a full-stack app stores credentials and the team wants safer login without making the database unusable. Which answer shows the best full-stack judgment?,"Hash passwords with a slow adaptive password hashing algorithm, unique salts, and secure reset flows.",Base64-encode passwords before storing them so raw text is not visible in database tools.,Hash passwords quickly with a general-purpose hash to keep sign-in latency minimal.,Encrypt passwords with an application secret so the server can decrypt them during login.,A,medium,Password Storage Security,
A team is reviewing a full-stack feature where a search endpoint builds a query from user filters and an attacker can change the WHERE clause. Which design choice is the strongest long-term fix?,Move the SQL builder to the frontend so users cannot directly edit backend code.,Use parameterized queries or prepared statements and validate allowed fields for dynamic query parts.,Escape single quotes manually before joining the string into SQL.,"Reject requests containing words such as DROP, UNION, or SELECT.",B,medium,SQL Injection Prevention,
"During production debugging, engineers discover that a search endpoint builds a query from user filters and an attacker can change the WHERE clause. Which response best addresses the root cause rather than only the symptom?",Escape single quotes manually before joining the string into SQL.,"Reject requests containing words such as DROP, UNION, or SELECT.",Move the SQL builder to the frontend so users cannot directly edit backend code.,Use parameterized queries or prepared statements and validate allowed fields for dynamic query parts.,D,medium,SQL Injection Prevention,
A senior developer asks how to make the system safer when a search endpoint builds a query from user filters and an attacker can change the WHERE clause. Which option is the most technically sound?,"Reject requests containing words such as DROP, UNION, or SELECT.",Move the SQL builder to the frontend so users cannot directly edit backend code.,Escape single quotes manually before joining the string into SQL.,Use parameterized queries or prepared statements and validate allowed fields for dynamic query parts.,D,medium,SQL Injection Prevention,
"In a code review, you notice that a search endpoint builds a query from user filters and an attacker can change the WHERE clause. Which improvement should be prioritized before release?",Use parameterized queries or prepared statements and validate allowed fields for dynamic query parts.,Escape single quotes manually before joining the string into SQL.,Move the SQL builder to the frontend so users cannot directly edit backend code.,"Reject requests containing words such as DROP, UNION, or SELECT.",A,medium,SQL Injection Prevention,
A candidate is asked to redesign a feature because a search endpoint builds a query from user filters and an attacker can change the WHERE clause. Which answer shows the best full-stack judgment?,Move the SQL builder to the frontend so users cannot directly edit backend code.,Escape single quotes manually before joining the string into SQL.,Use parameterized queries or prepared statements and validate allowed fields for dynamic query parts.,"Reject requests containing words such as DROP, UNION, or SELECT.",C,medium,SQL Injection Prevention,
A team is reviewing a full-stack feature where user-generated comments are displayed across pages and one comment executes script in another user's browser. Which design choice is the strongest long-term fix?,Store comments as images so browser script tags are not directly inserted.,Block only comments containing the exact substring <script>.,Trust content after login because authenticated users are accountable.,"Treat content as untrusted, encode output by context, sanitize allowed HTML, and add defense-in-depth headers such as CSP.",D,medium,Cross-Site Scripting Defense,
"During production debugging, engineers discover that user-generated comments are displayed across pages and one comment executes script in another user's browser. Which response best addresses the root cause rather than only the symptom?","Treat content as untrusted, encode output by context, sanitize allowed HTML, and add defense-in-depth headers such as CSP.",Trust content after login because authenticated users are accountable.,Store comments as images so browser script tags are not directly inserted.,Block only comments containing the exact substring <script>.,A,medium,Cross-Site Scripting Defense,
A senior developer asks how to make the system safer when user-generated comments are displayed across pages and one comment executes script in another user's browser. Which option is the most technically sound?,Store comments as images so browser script tags are not directly inserted.,Block only comments containing the exact substring <script>.,Trust content after login because authenticated users are accountable.,"Treat content as untrusted, encode output by context, sanitize allowed HTML, and add defense-in-depth headers such as CSP.",D,medium,Cross-Site Scripting Defense,
"In a code review, you notice that user-generated comments are displayed across pages and one comment executes script in another user's browser. Which improvement should be prioritized before release?","Treat content as untrusted, encode output by context, sanitize allowed HTML, and add defense-in-depth headers such as CSP.",Block only comments containing the exact substring <script>.,Store comments as images so browser script tags are not directly inserted.,Trust content after login because authenticated users are accountable.,A,medium,Cross-Site Scripting Defense,
A candidate is asked to redesign a feature because user-generated comments are displayed across pages and one comment executes script in another user's browser. Which answer shows the best full-stack judgment?,Block only comments containing the exact substring <script>.,Store comments as images so browser script tags are not directly inserted.,"Treat content as untrusted, encode output by context, sanitize allowed HTML, and add defense-in-depth headers such as CSP.",Trust content after login because authenticated users are accountable.,C,medium,Cross-Site Scripting Defense,
A team is reviewing a full-stack feature where a cookie-authenticated admin action can be triggered by a hidden form on another website. Which design choice is the strongest long-term fix?,Use SameSite cookies where appropriate and require CSRF tokens or equivalent request verification for state-changing actions.,Switch all state-changing requests from POST to GET so they become visible in browser history.,Rely on CORS alone because cross-origin forms cannot send cookies.,Ask admins to keep only one browser tab open during sensitive operations.,A,medium,CSRF Protection,
"During production debugging, engineers discover that a cookie-authenticated admin action can be triggered by a hidden form on another website. Which response best addresses the root cause rather than only the symptom?",Use SameSite cookies where appropriate and require CSRF tokens or equivalent request verification for state-changing actions.,Switch all state-changing requests from POST to GET so they become visible in browser history.,Ask admins to keep only one browser tab open during sensitive operations.,Rely on CORS alone because cross-origin forms cannot send cookies.,A,medium,CSRF Protection,
A senior developer asks how to make the system safer when a cookie-authenticated admin action can be triggered by a hidden form on another website. Which option is the most technically sound?,Switch all state-changing requests from POST to GET so they become visible in browser history.,Ask admins to keep only one browser tab open during sensitive operations.,Rely on CORS alone because cross-origin forms cannot send cookies.,Use SameSite cookies where appropriate and require CSRF tokens or equivalent request verification for state-changing actions.,D,medium,CSRF Protection,
"In a code review, you notice that a cookie-authenticated admin action can be triggered by a hidden form on another website. Which improvement should be prioritized before release?",Use SameSite cookies where appropriate and require CSRF tokens or equivalent request verification for state-changing actions.,Switch all state-changing requests from POST to GET so they become visible in browser history.,Ask admins to keep only one browser tab open during sensitive operations.,Rely on CORS alone because cross-origin forms cannot send cookies.,A,medium,CSRF Protection,
A candidate is asked to redesign a feature because a cookie-authenticated admin action can be triggered by a hidden form on another website. Which answer shows the best full-stack judgment?,Use SameSite cookies where appropriate and require CSRF tokens or equivalent request verification for state-changing actions.,Ask admins to keep only one browser tab open during sensitive operations.,Switch all state-changing requests from POST to GET so they become visible in browser history.,Rely on CORS alone because cross-origin forms cannot send cookies.,A,medium,CSRF Protection,
A team is reviewing a full-stack feature where an activity feed changes while users scroll and offset-based pages show duplicates or skip records. Which design choice is the strongest long-term fix?,Increase the page size so duplicates become less noticeable.,Sort the feed randomly on each request so users see more varied data.,Keep offset pagination but retry skipped pages until the frontend has enough items.,Use stable cursor-based pagination with a deterministic ordering and a tie-breaker such as created_at plus id.,D,medium,Pagination Design,
"During production debugging, engineers discover that an activity feed changes while users scroll and offset-based pages show duplicates or skip records. Which response best addresses the root cause rather than only the symptom?",Increase the page size so duplicates become less noticeable.,Sort the feed randomly on each request so users see more varied data.,Use stable cursor-based pagination with a deterministic ordering and a tie-breaker such as created_at plus id.,Keep offset pagination but retry skipped pages until the frontend has enough items.,C,medium,Pagination Design,
A senior developer asks how to make the system safer when an activity feed changes while users scroll and offset-based pages show duplicates or skip records. Which option is the most technically sound?,Use stable cursor-based pagination with a deterministic ordering and a tie-breaker such as created_at plus id.,Increase the page size so duplicates become less noticeable.,Sort the feed randomly on each request so users see more varied data.,Keep offset pagination but retry skipped pages until the frontend has enough items.,A,medium,Pagination Design,
