question_text,option_a,option_b,option_c,option_d,correct_option,difficulty,topic,explanation
A candidate is asked to redesign a feature because a React effect fetches data but sometimes uses an old search term or refetches in a loop. Which answer shows the best full-stack judgment?,Remove the dependency array so React decides when to run it.,Disable the linter rule because the current behavior looks correct during testing.,"Make dependencies explicit, separate event logic from effects, and cancel or ignore stale async results.",Move the fetch into render so it always uses the latest value.,C,medium,React Effects & Async State,
A team is reviewing a full-stack feature where a server-rendered page shows a hydration mismatch because client-only values differ from server HTML. Which design choice is the strongest long-term fix?,Ignore hydration warnings because React will eventually replace the incorrect markup.,Render deterministic server output and move browser-only reads into client effects or guarded client components.,Disable SSR for the whole application to avoid all mismatches.,Read localStorage during server rendering and fallback to an empty string.,B,medium,SSR Hydration Correctness,
"During production debugging, engineers discover that a server-rendered page shows a hydration mismatch because client-only values differ from server HTML. Which response best addresses the root cause rather than only the symptom?",Ignore hydration warnings because React will eventually replace the incorrect markup.,Render deterministic server output and move browser-only reads into client effects or guarded client components.,Disable SSR for the whole application to avoid all mismatches.,Read localStorage during server rendering and fallback to an empty string.,B,medium,SSR Hydration Correctness,
A senior developer asks how to make the system safer when a server-rendered page shows a hydration mismatch because client-only values differ from server HTML. Which option is the most technically sound?,Disable SSR for the whole application to avoid all mismatches.,Ignore hydration warnings because React will eventually replace the incorrect markup.,Read localStorage during server rendering and fallback to an empty string.,Render deterministic server output and move browser-only reads into client effects or guarded client components.,D,medium,SSR Hydration Correctness,
"In a code review, you notice that a server-rendered page shows a hydration mismatch because client-only values differ from server HTML. Which improvement should be prioritized before release?",Disable SSR for the whole application to avoid all mismatches.,Render deterministic server output and move browser-only reads into client effects or guarded client components.,Read localStorage during server rendering and fallback to an empty string.,Ignore hydration warnings because React will eventually replace the incorrect markup.,B,medium,SSR Hydration Correctness,
A candidate is asked to redesign a feature because a server-rendered page shows a hydration mismatch because client-only values differ from server HTML. Which answer shows the best full-stack judgment?,Render deterministic server output and move browser-only reads into client effects or guarded client components.,Disable SSR for the whole application to avoid all mismatches.,Read localStorage during server rendering and fallback to an empty string.,Ignore hydration warnings because React will eventually replace the incorrect markup.,A,medium,SSR Hydration Correctness,
A team is reviewing a full-stack feature where a checkout form works visually but screen-reader users cannot tell which validation error belongs to which field. Which design choice is the strongest long-term fix?,Put all errors in one paragraph at the bottom without linking them to inputs.,"Use semantic labels, programmatic error associations, focus management, and accessible status messaging.",Replace text labels with placeholders to reduce clutter.,Add red borders to invalid fields because visual feedback is enough for most users.,B,medium,Accessibility & Form UX,
"During production debugging, engineers discover that a checkout form works visually but screen-reader users cannot tell which validation error belongs to which field. Which response best addresses the root cause rather than only the symptom?",Add red borders to invalid fields because visual feedback is enough for most users.,Put all errors in one paragraph at the bottom without linking them to inputs.,Replace text labels with placeholders to reduce clutter.,"Use semantic labels, programmatic error associations, focus management, and accessible status messaging.",D,medium,Accessibility & Form UX,
A senior developer asks how to make the system safer when a checkout form works visually but screen-reader users cannot tell which validation error belongs to which field. Which option is the most technically sound?,"Use semantic labels, programmatic error associations, focus management, and accessible status messaging.",Add red borders to invalid fields because visual feedback is enough for most users.,Replace text labels with placeholders to reduce clutter.,Put all errors in one paragraph at the bottom without linking them to inputs.,A,medium,Accessibility & Form UX,
"In a code review, you notice that a checkout form works visually but screen-reader users cannot tell which validation error belongs to which field. Which improvement should be prioritized before release?",Put all errors in one paragraph at the bottom without linking them to inputs.,Add red borders to invalid fields because visual feedback is enough for most users.,Replace text labels with placeholders to reduce clutter.,"Use semantic labels, programmatic error associations, focus management, and accessible status messaging.",D,medium,Accessibility & Form UX,
A candidate is asked to redesign a feature because a checkout form works visually but screen-reader users cannot tell which validation error belongs to which field. Which answer shows the best full-stack judgment?,Replace text labels with placeholders to reduce clutter.,Add red borders to invalid fields because visual feedback is enough for most users.,Put all errors in one paragraph at the bottom without linking them to inputs.,"Use semantic labels, programmatic error associations, focus management, and accessible status messaging.",D,medium,Accessibility & Form UX,
A team is reviewing a full-stack feature where the first load is heavy because rarely used admin charts and editors are bundled into the customer homepage. Which design choice is the strongest long-term fix?,Cache the bundle for a year without changing how it is built.,Minify the same single bundle and hope compression offsets all unused code.,"Split code by route or feature, lazy-load heavy modules, and measure impact with real performance metrics.",Move the heavy components below the fold but keep them in the initial bundle.,C,medium,Frontend Bundle Performance,
"During production debugging, engineers discover that the first load is heavy because rarely used admin charts and editors are bundled into the customer homepage. Which response best addresses the root cause rather than only the symptom?",Minify the same single bundle and hope compression offsets all unused code.,Cache the bundle for a year without changing how it is built.,Move the heavy components below the fold but keep them in the initial bundle.,"Split code by route or feature, lazy-load heavy modules, and measure impact with real performance metrics.",D,medium,Frontend Bundle Performance,
A senior developer asks how to make the system safer when the first load is heavy because rarely used admin charts and editors are bundled into the customer homepage. Which option is the most technically sound?,Move the heavy components below the fold but keep them in the initial bundle.,Minify the same single bundle and hope compression offsets all unused code.,Cache the bundle for a year without changing how it is built.,"Split code by route or feature, lazy-load heavy modules, and measure impact with real performance metrics.",D,medium,Frontend Bundle Performance,
"In a code review, you notice that the first load is heavy because rarely used admin charts and editors are bundled into the customer homepage. Which improvement should be prioritized before release?","Split code by route or feature, lazy-load heavy modules, and measure impact with real performance metrics.",Cache the bundle for a year without changing how it is built.,Minify the same single bundle and hope compression offsets all unused code.,Move the heavy components below the fold but keep them in the initial bundle.,A,medium,Frontend Bundle Performance,
A candidate is asked to redesign a feature because the first load is heavy because rarely used admin charts and editors are bundled into the customer homepage. Which answer shows the best full-stack judgment?,"Split code by route or feature, lazy-load heavy modules, and measure impact with real performance metrics.",Move the heavy components below the fold but keep them in the initial bundle.,Cache the bundle for a year without changing how it is built.,Minify the same single bundle and hope compression offsets all unused code.,A,medium,Frontend Bundle Performance,
"A team is reviewing a full-stack feature where frontend validation accepts a value but backend rejects it, producing inconsistent user experiences. Which design choice is the strongest long-term fix?",Trust frontend validation because users interact there first.,Accept backend-only validation and show generic failure messages for all mismatches.,Duplicate validation logic manually in both places and update whichever breaks first.,Define server-authoritative validation and optionally share schemas or generated contracts with the frontend.,D,medium,Validation Contracts,
"During production debugging, engineers discover that frontend validation accepts a value but backend rejects it, producing inconsistent user experiences. Which response best addresses the root cause rather than only the symptom?",Accept backend-only validation and show generic failure messages for all mismatches.,Duplicate validation logic manually in both places and update whichever breaks first.,Trust frontend validation because users interact there first.,Define server-authoritative validation and optionally share schemas or generated contracts with the frontend.,D,medium,Validation Contracts,
"A senior developer asks how to make the system safer when frontend validation accepts a value but backend rejects it, producing inconsistent user experiences. Which option is the most technically sound?",Accept backend-only validation and show generic failure messages for all mismatches.,Trust frontend validation because users interact there first.,Duplicate validation logic manually in both places and update whichever breaks first.,Define server-authoritative validation and optionally share schemas or generated contracts with the frontend.,D,medium,Validation Contracts,
"In a code review, you notice that frontend validation accepts a value but backend rejects it, producing inconsistent user experiences. Which improvement should be prioritized before release?",Trust frontend validation because users interact there first.,Define server-authoritative validation and optionally share schemas or generated contracts with the frontend.,Duplicate validation logic manually in both places and update whichever breaks first.,Accept backend-only validation and show generic failure messages for all mismatches.,B,medium,Validation Contracts,
"A candidate is asked to redesign a feature because frontend validation accepts a value but backend rejects it, producing inconsistent user experiences. Which answer shows the best full-stack judgment?",Define server-authoritative validation and optionally share schemas or generated contracts with the frontend.,Duplicate validation logic manually in both places and update whichever breaks first.,Accept backend-only validation and show generic failure messages for all mismatches.,Trust frontend validation because users interact there first.,A,medium,Validation Contracts,
A team is reviewing a full-stack feature where large uploads pass through the application server and cause memory spikes during busy hours. Which design choice is the strongest long-term fix?,Increase the maximum body size and add a bigger server instance.,Use streaming or direct-to-object-storage uploads with signed URLs and server-side metadata validation.,Store files directly inside the relational database for easier joins.,Read each full file into memory before writing it so validation is simple.,B,medium,File Upload Architecture,
"During production debugging, engineers discover that large uploads pass through the application server and cause memory spikes during busy hours. Which response best addresses the root cause rather than only the symptom?",Store files directly inside the relational database for easier joins.,Use streaming or direct-to-object-storage uploads with signed URLs and server-side metadata validation.,Increase the maximum body size and add a bigger server instance.,Read each full file into memory before writing it so validation is simple.,B,medium,File Upload Architecture,
A senior developer asks how to make the system safer when large uploads pass through the application server and cause memory spikes during busy hours. Which option is the most technically sound?,Use streaming or direct-to-object-storage uploads with signed URLs and server-side metadata validation.,Read each full file into memory before writing it so validation is simple.,Store files directly inside the relational database for easier joins.,Increase the maximum body size and add a bigger server instance.,A,medium,File Upload Architecture,
"In a code review, you notice that large uploads pass through the application server and cause memory spikes during busy hours. Which improvement should be prioritized before release?",Read each full file into memory before writing it so validation is simple.,Increase the maximum body size and add a bigger server instance.,Store files directly inside the relational database for easier joins.,Use streaming or direct-to-object-storage uploads with signed URLs and server-side metadata validation.,D,medium,File Upload Architecture,
A candidate is asked to redesign a feature because large uploads pass through the application server and cause memory spikes during busy hours. Which answer shows the best full-stack judgment?,Store files directly inside the relational database for easier joins.,Use streaming or direct-to-object-storage uploads with signed URLs and server-side metadata validation.,Read each full file into memory before writing it so validation is simple.,Increase the maximum body size and add a bigger server instance.,B,medium,File Upload Architecture,
"A team is reviewing a full-stack feature where the same codebase runs locally, in staging, and in production with different databases and API keys. Which design choice is the strongest long-term fix?",Put secrets in frontend build variables because the UI needs to call APIs.,Hard-code production values and override them manually during local testing.,Commit a complete .env file so every developer has the same setup.,"Use environment-specific configuration and secret management, keeping secrets out of source control and images.",D,medium,Environment Config & Secrets,
"During production debugging, engineers discover that the same codebase runs locally, in staging, and in production with different databases and API keys. Which response best addresses the root cause rather than only the symptom?",Put secrets in frontend build variables because the UI needs to call APIs.,Hard-code production values and override them manually during local testing.,Commit a complete .env file so every developer has the same setup.,"Use environment-specific configuration and secret management, keeping secrets out of source control and images.",D,medium,Environment Config & Secrets,
"A senior developer asks how to make the system safer when the same codebase runs locally, in staging, and in production with different databases and API keys. Which option is the most technically sound?","Use environment-specific configuration and secret management, keeping secrets out of source control and images.",Put secrets in frontend build variables because the UI needs to call APIs.,Hard-code production values and override them manually during local testing.,Commit a complete .env file so every developer has the same setup.,A,medium,Environment Config & Secrets,
"In a code review, you notice that the same codebase runs locally, in staging, and in production with different databases and API keys. Which improvement should be prioritized before release?",Commit a complete .env file so every developer has the same setup.,Put secrets in frontend build variables because the UI needs to call APIs.,Hard-code production values and override them manually during local testing.,"Use environment-specific configuration and secret management, keeping secrets out of source control and images.",D,medium,Environment Config & Secrets,
"A candidate is asked to redesign a feature because the same codebase runs locally, in staging, and in production with different databases and API keys. Which answer shows the best full-stack judgment?",Put secrets in frontend build variables because the UI needs to call APIs.,Commit a complete .env file so every developer has the same setup.,Hard-code production values and override them manually during local testing.,"Use environment-specific configuration and secret management, keeping secrets out of source control and images.",D,medium,Environment Config & Secrets,
A team is reviewing a full-stack feature where a deployment adds a required database column while old application instances are still serving traffic. Which design choice is the strongest long-term fix?,Deploy the schema-breaking change first because migrations usually finish quickly.,Use backward-compatible expand-and-contract migrations and deploy code/data changes in safe phases.,Stop all traffic until every instance is updated and manually restart the database.,Rely on ORM auto-sync in production so the schema always matches the newest models.,B,medium,Database Migration Safety,
"During production debugging, engineers discover that a deployment adds a required database column while old application instances are still serving traffic. Which response best addresses the root cause rather than only the symptom?",Use backward-compatible expand-and-contract migrations and deploy code/data changes in safe phases.,Stop all traffic until every instance is updated and manually restart the database.,Rely on ORM auto-sync in production so the schema always matches the newest models.,Deploy the schema-breaking change first because migrations usually finish quickly.,A,medium,Database Migration Safety,
A senior developer asks how to make the system safer when a deployment adds a required database column while old application instances are still serving traffic. Which option is the most technically sound?,Use backward-compatible expand-and-contract migrations and deploy code/data changes in safe phases.,Stop all traffic until every instance is updated and manually restart the database.,Deploy the schema-breaking change first because migrations usually finish quickly.,Rely on ORM auto-sync in production so the schema always matches the newest models.,A,medium,Database Migration Safety,
"In a code review, you notice that a deployment adds a required database column while old application instances are still serving traffic. Which improvement should be prioritized before release?",Rely on ORM auto-sync in production so the schema always matches the newest models.,Stop all traffic until every instance is updated and manually restart the database.,Deploy the schema-breaking change first because migrations usually finish quickly.,Use backward-compatible expand-and-contract migrations and deploy code/data changes in safe phases.,D,medium,Database Migration Safety,
A candidate is asked to redesign a feature because a deployment adds a required database column while old application instances are still serving traffic. Which answer shows the best full-stack judgment?,Stop all traffic until every instance is updated and manually restart the database.,Use backward-compatible expand-and-contract migrations and deploy code/data changes in safe phases.,Rely on ORM auto-sync in production so the schema always matches the newest models.,Deploy the schema-breaking change first because migrations usually finish quickly.,B,medium,Database Migration Safety,
"A team is reviewing a full-stack feature where unit tests pass but releases still break communication between frontend, API, and external services. Which design choice is the strongest long-term fix?",Snapshot every rendered component and treat snapshots as full regression coverage.,Replace unit tests completely with manual QA because real flows matter most.,"Add integration, contract, and end-to-end tests around critical boundaries while keeping unit tests for isolated logic.",Test only backend controllers because frontend bugs are visible immediately.,C,medium,Testing Strategy,
"During production debugging, engineers discover that unit tests pass but releases still break communication between frontend, API, and external services. Which response best addresses the root cause rather than only the symptom?",Test only backend controllers because frontend bugs are visible immediately.,"Add integration, contract, and end-to-end tests around critical boundaries while keeping unit tests for isolated logic.",Replace unit tests completely with manual QA because real flows matter most.,Snapshot every rendered component and treat snapshots as full regression coverage.,B,medium,Testing Strategy,
"A senior developer asks how to make the system safer when unit tests pass but releases still break communication between frontend, API, and external services. Which option is the most technically sound?",Replace unit tests completely with manual QA because real flows matter most.,Test only backend controllers because frontend bugs are visible immediately.,"Add integration, contract, and end-to-end tests around critical boundaries while keeping unit tests for isolated logic.",Snapshot every rendered component and treat snapshots as full regression coverage.,C,medium,Testing Strategy,
"In a code review, you notice that unit tests pass but releases still break communication between frontend, API, and external services. Which improvement should be prioritized before release?",Replace unit tests completely with manual QA because real flows matter most.,Test only backend controllers because frontend bugs are visible immediately.,"Add integration, contract, and end-to-end tests around critical boundaries while keeping unit tests for isolated logic.",Snapshot every rendered component and treat snapshots as full regression coverage.,C,medium,Testing Strategy,
"A candidate is asked to redesign a feature because unit tests pass but releases still break communication between frontend, API, and external services. Which answer shows the best full-stack judgment?","Add integration, contract, and end-to-end tests around critical boundaries while keeping unit tests for isolated logic.",Snapshot every rendered component and treat snapshots as full regression coverage.,Test only backend controllers because frontend bugs are visible immediately.,Replace unit tests completely with manual QA because real flows matter most.,A,medium,Testing Strategy,
A team is reviewing a full-stack feature where real-time notifications work on one server but fail or duplicate when traffic is balanced across multiple instances. Which design choice is the strongest long-term fix?,Turn off load balancing whenever users need real-time updates.,Store all WebSocket connection objects in one server's memory and route traffic randomly.,Send the same notification repeatedly until every client acknowledges it visually.,"Use shared pub/sub or message brokers, connection-aware routing, and idempotent event handling across instances.",D,medium,Real-Time Scaling,
"During production debugging, engineers discover that real-time notifications work on one server but fail or duplicate when traffic is balanced across multiple instances. Which response best addresses the root cause rather than only the symptom?",Turn off load balancing whenever users need real-time updates.,"Use shared pub/sub or message brokers, connection-aware routing, and idempotent event handling across instances.",Send the same notification repeatedly until every client acknowledges it visually.,Store all WebSocket connection objects in one server's memory and route traffic randomly.,B,medium,Real-Time Scaling,
A senior developer asks how to make the system safer when real-time notifications work on one server but fail or duplicate when traffic is balanced across multiple instances. Which option is the most technically sound?,Store all WebSocket connection objects in one server's memory and route traffic randomly.,Turn off load balancing whenever users need real-time updates.,Send the same notification repeatedly until every client acknowledges it visually.,"Use shared pub/sub or message brokers, connection-aware routing, and idempotent event handling across instances.",D,medium,Real-Time Scaling,
"In a code review, you notice that real-time notifications work on one server but fail or duplicate when traffic is balanced across multiple instances. Which improvement should be prioritized before release?",Turn off load balancing whenever users need real-time updates.,"Use shared pub/sub or message brokers, connection-aware routing, and idempotent event handling across instances.",Store all WebSocket connection objects in one server's memory and route traffic randomly.,Send the same notification repeatedly until every client acknowledges it visually.,B,medium,Real-Time Scaling,
A candidate is asked to redesign a feature because real-time notifications work on one server but fail or duplicate when traffic is balanced across multiple instances. Which answer shows the best full-stack judgment?,Turn off load balancing whenever users need real-time updates.,"Use shared pub/sub or message brokers, connection-aware routing, and idempotent event handling across instances.",Send the same notification repeatedly until every client acknowledges it visually.,Store all WebSocket connection objects in one server's memory and route traffic randomly.,B,medium,Real-Time Scaling,
"A team is reviewing a full-stack feature where an Express API mixes thrown errors, rejected promises, and manual responses, causing inconsistent client failures. Which design choice is the strongest long-term fix?","Normalize errors through centralized middleware, async error propagation, typed error objects, and consistent response formats.",Wrap every route in a try/catch and return a different JSON shape for each failure.,Send raw stack traces to the browser so debugging is faster.,Let Node crash on unexpected errors and depend on the process manager to restart quickly.,A,medium,Express Error Handling,
"During production debugging, engineers discover that an Express API mixes thrown errors, rejected promises, and manual responses, causing inconsistent client failures. Which response best addresses the root cause rather than only the symptom?","Normalize errors through centralized middleware, async error propagation, typed error objects, and consistent response formats.",Send raw stack traces to the browser so debugging is faster.,Let Node crash on unexpected errors and depend on the process manager to restart quickly.,Wrap every route in a try/catch and return a different JSON shape for each failure.,A,medium,Express Error Handling,
"A senior developer asks how to make the system safer when an Express API mixes thrown errors, rejected promises, and manual responses, causing inconsistent client failures. Which option is the most technically sound?",Wrap every route in a try/catch and return a different JSON shape for each failure.,"Normalize errors through centralized middleware, async error propagation, typed error objects, and consistent response formats.",Let Node crash on unexpected errors and depend on the process manager to restart quickly.,Send raw stack traces to the browser so debugging is faster.,B,medium,Express Error Handling,
"In a code review, you notice that an Express API mixes thrown errors, rejected promises, and manual responses, causing inconsistent client failures. Which improvement should be prioritized before release?",Let Node crash on unexpected errors and depend on the process manager to restart quickly.,"Normalize errors through centralized middleware, async error propagation, typed error objects, and consistent response formats.",Wrap every route in a try/catch and return a different JSON shape for each failure.,Send raw stack traces to the browser so debugging is faster.,B,medium,Express Error Handling,
"A candidate is asked to redesign a feature because an Express API mixes thrown errors, rejected promises, and manual responses, causing inconsistent client failures. Which answer shows the best full-stack judgment?",Send raw stack traces to the browser so debugging is faster.,Let Node crash on unexpected errors and depend on the process manager to restart quickly.,Wrap every route in a try/catch and return a different JSON shape for each failure.,"Normalize errors through centralized middleware, async error propagation, typed error objects, and consistent response formats.",D,medium,Express Error Handling,
